MedCodeId	Term	product	given	booster	measles	history	not_received
3493711000006117	Measles/mumps/rubella vaccine	1			1		
4633541000006115	"Measles, mumps and rubella pre-school booster vaccination"	1		1	1		
4633551000006118	"Measles, mumps and rubella II pre-school booster vaccination"	1		1	1		
4633601000006116	Measles mumps and rubella vaccination - second dose	1			1		
6185681000006112	"Measles, Mumps and Rubella vaccine (live) powder and solvent for solution for injection 0.5ml vials"	1			1		
6185691000006110	Measles/mumps/rubella vaccine injection (pdr for recon)+diluent	1			1		
6185701000006110	Measles/mumps/rubella vaccine powder and solvent for injection solution vial	1			1		
6448591000006112	Measles vaccine	1			1		
6448611000006118	Measles live virus vaccine	1			1		
6569251000006111	Measles vaccine	1			1		
6569271000006118	Measles live virus vaccine	1			1		
6569281000006115	"Measles, mumps and rubella vaccine"	1			1		
6639671000006119	Measles vaccine (live) powder and solvent for solution for injection vials	1			1		
6639681000006116	"Measles virus vaccine, live, 0.5mL/vial powder for injection"	1			1		
6639691000006118	"Measles virus vaccine, live, 0.5mL/vial injection"	1			1		
6939121000006114	Measles + mumps + rubella + varicella vaccine	1			1		
6942811000006117	Measles/mumps/rubella/varicella vaccine powder and solvent for injection solution vial	1			1		
7164061000006111	"Measles, mumps, rubella, and varicella (MMRV) vaccination"	1			1		
8047271000006111	"Measles, mumps and rubella vaccination given"		1		1		
8099741000006114	Measles mumps and rubella vaccination - first dose	1			1		
8714241000006117	"Measles, Mumps and Rubella vaccine (live) powder and solvent for solution for injection 0.5ml vials 1 vial"	1			1		
9400911000006110	Measles vaccine (live) powder and solvent for solution for injection vials 10 vial	1			1		
9675581000006110	"Measles, Mumps and Rubella vaccine (live) powder and solvent for suspension for injection 0.5ml pre-filled syringes 1 pre-filled disposable injection"	1			1		
9679971000006119	"Measles, Mumps and Rubella vaccine (live) powder and solvent for suspension for injection 0.5ml pre-filled syringes"	1			1		
3121351000006113	MMR triple vaccination	1			1		
3121361000006110	MMR vaccination	1			1		
4633561000006116	MMRII pre-school booster vaccination	1		1	1		
4633571000006111	MMRII pre-school booster vaccn	1		1	1		
6569291000006117	MMR vaccine	1			1		
8731381000006113	M-M-R II vaccine powder and solvent for solution for injection 0.5ml vials (sanofi pasteur MSD Ltd)	1			1		
8731421000006115	M-M-R II vaccine powder and solvent for solution for injection 0.5ml vials (sanofi pasteur MSD Ltd) 1 vial	1			1		
9675591000006113	M-M-RVAXPRO vaccine powder and solvent for suspension for injection 0.5ml pre-filled syringes (Merck Sharp & Dohme Ltd)	1			1		
9675601000006117	M-M-RVAXPRO vaccine powder and solvent for suspension for injection 0.5ml pre-filled syringes (Merck Sharp & Dohme Ltd) 1 pre-filled disposable injection	1			1		
3319201000006118	Mumps immunization	1					
3319221000006111	Mumps immunisation	1					
3963741000006119	Mumps live virus vaccine	1					
3963751000006117	Mumps vaccine	1					
4633581000006114	Mumps-measles-rubella (MMR) pre-school booster vaccination	1		1	1		
4633591000006112	Mumps-measles-rubella pre-school booster vaccination	1		1	1		
6416681000006115	Mumps virus vaccine live injection solution 0.5mL vial	1					
6416691000006117	Mumps virus vaccine live 0.5mL/vial injection	1					
6416701000006117	Mumps virus vaccine live 1 dose injection solution 0.5mL vial	1					
6569301000006116	Mumps vaccine	1					
8714261000006118	Priorix vaccine powder and solvent for solution for injection 0.5ml vials (GlaxoSmithKline UK Ltd)	1			1		
8714271000006113	Priorix vaccine powder and solvent for solution for injection 0.5ml vials (GlaxoSmithKline UK Ltd) 1 vial	1			1		
3839081000006112	Rubella immunization	1					
3839101000006116	Rubella immunisation	1					
6185731000006119	Rubella vaccine powder and solvent for solution for injection 0.5ml vials	1					
6185741000006112	Rubella live vaccine injection (pdr for recon)+diluent	1					
6185751000006114	Rubella live vaccine powder and solvent for injection solution vial	1					
6416641000006114	"Rubella virus vaccine, live 0.5mL/vial powder"	1					
6448621000006114	Rubella vaccine	1					
6569451000006112	Rubella vaccine	1					
6824591000006110	Rubella and mumps vaccine	1					
8047291000006112	Rubella vaccination given		1				
8676141000006115	Rubella vaccine powder and solvent for solution for injection 0.5ml vials 1 vial	1					
7183401000006119	"Second measles, mumps, rubella, and varicella (MMRV) vaccination"	1			1		
714131000006114	Measles vaccination	1			1		
79086012	Measles vaccination	1			1		
714121000006111	Measles vaccination plus immunoglobulin	1			1		
136537014	Rubella vaccination	1					
136536017	German measles vaccination	1					
84276014	Mumps vaccination	1					
714211000006114	Measles-mumps-rubella vaccination	1			1		
2640631000000116	First MMR (measles mumps and rubella) vaccination	1			1		
1986701000006115	First MMR (measles mumps and rubella) vaccination given by other healthcare provider	1			1		
714221000006118	Measles/rubella vaccination	1			1		
697411000006111	MR - Measles/rubella vaccination	1			1		
264267011	Measles mumps and rubella booster vaccination	1		1	1		
264268018	MMR pre-school booster vaccination	1			1		
264273012	MMR vaccination - 2nd dose	1			1		
1986711000006117	Second MMR (measles mumps and rubella) vaccination given by other healthcare provider	1			1		
636921000033116	Rubella Vaccine	1					
708921000033119	Rubella Vaccine Live	1					
856071000006113	Booster measles/mumps/rubella vaccn.	1			1		
856991000006113	Measles/rubella vaccination	1			1		
926611000006119	MMRII pre-school booster vaccn	1		1	1		
926621000006110	MMR vaccination - 2nd dose	1			1		
925021000006112	Measles mumps and rubella booster vaccination	1		1	1		
924411000006113	Measles vaccination	1			1		
924421000006117	Measles vaccination	1			1		
924431000006119	Measles vaccin.+immunoglobulin	1			1		
924931000006110	Measles/mumps/rubella vaccn.	1			1		
924941000006117	Measles/rubella vaccination	1			1		
924561000006112	Mumps vaccination	1					
924441000006112	Rubella vaccination	1					
460218015	[V]Measles vaccination	1			1		
460219011	[V]Rubella vaccination	1					
460222013	[V]Mumps vaccination	1					
460244015	"Measles, mumps and rubella vaccination given"		1		1		
8190421000006110	MMR (measles mumps rubella) catch-up vaccination	1			1		
1152301000000118	Measles mumps rubella catch-up vaccination	1			1		
12076861000006114	Live attenuated measles virus	1			1		
9369731000006117	Measles virus live attenuated	1			1		
9369741000006110	Mumps virus live attenuated	1					
9369821000006110	Rubella virus live attenuated	1					
414621000033112	"Rubella Vaccine, Live"	1					
423121000033114	"Measles Vaccine (Live, Enders Edmonston Strain)"	1			1		
471521000033118	Live Attenuated Mumps Virus						
13920311000006118	Administration of measles and rubella vaccine		1		1		
13975481000006114	Administration of first dose of measles and mumps and rubella and varicella virus vaccine		1		1		
14057721000006117	Administration of measles and mumps and rubella vaccine		1		1		
14058451000006117	Administration of measles vaccine		1		1		
14058761000006110	Administration of mumps vaccine		1				
14061181000006115	Administration of rubella vaccine		1				
14070491000006111	Administration of booster dose of measles and mumps and rubella vaccine		1	1	1		
14070531000006111	Administration of pre-school booster dose of measles and mumps and rubella vaccine		1	1	1		
14070571000006114	Administration of second dose of measles and mumps and rubella vaccine		1		1		
14085341000006112	Administration of measles and mumps and rubella and varicella virus vaccine		1		1		
14085411000006115	Administration of second dose of measles and mumps and rubella and varicella virus vaccine		1		1		
14096511000006113	"Administration of live attenuated measles, mumps, and rubella vaccine"		1		1		
14096701000006116	Administration of live attenuated measles and mumps and rubella and varicella-zoster vaccine		1		1		
4911881000006118	Adverse reaction caused by measles vaccine				1	1	
7483831000006113	"History of MMR (measles, mumps and rubella) vaccination"				1	1	
5791541000006112	Measles/mumps/rubella vaccine adverse reaction				1	1	
296883011	Post measles vaccination encephalitis					1	
296885016	Post mumps vaccination encephalitis					1	
296886015	Post rubella vaccination encephalitis					1	
1231255014	Measles vaccine poisoning				1	1	
1233892012	Mumps vaccine poisoning					1	
331500017	Adverse reaction to measles vaccine				1	1	
902471000006119	Reaction: measles vaccine				1	1	
469271000006112	Mumps vaccine adverse reaction					1	
471271000006119	Rubella vaccine adverse reaction					1	
355261000006117	[X] Adverse reaction to measles vaccine				1	1	
355701000006110	[X] Adverse reaction to mumps vaccine					1	
357571000006117	[X] Adverse reaction to rubella vaccine					1	
5773741000006113	Intentional mumps vaccine poisoning					1	
5773801000006115	Intentional measles vaccine poisoning				1	1	
5773961000006110	Intentional measles/mumps/rubella vaccine poisoning				1	1	
5773811000006117	Measles vaccine poisoning of undetermined intent				1	1	
5773941000006111	Measles/mumps/rubella vaccine poisoning				1	1	
5773971000006115	Measles/mumps/rubella vaccine poisoning of undetermined intent				1	1	
5809311000006118	Measles/mumps/rubella vaccine allergy				1	1	
5773751000006110	Mumps vaccine poisoning of undetermined intent					1	
5809191000006114	Mumps vaccine allergy					1	
3372391000006118	Poisoning by measles vaccine				1	1	
3372411000006118	Poisoning caused by measles vaccine				1	1	
3728081000006118	Poisoning by mumps vaccine					1	
3728101000006114	Poisoning caused by mumps vaccine					1	
1136271000000118	"History of measles, mumps and rubella vaccination"				1	1	
1060671000006112	"Adverse reaction to Rubella Vaccine, Live"					1	
1137831000006113	"Adverse reaction to Measles Vaccine (Live, Enders Edmonston Strain)"				1	1	
1138091000006119	Adverse reaction to Live Attenuated Mumps Virus					1	
1071611000006117	Adverse reaction to Immravax				1	1	
1140211000006115	Adverse reaction to Rubella Vaccine					1	
1093971000006111	Adverse reaction to Rubella Vaccine Live					1	
13806281000006115	Allergy to rubella vaccine					1	
14076191000006117	Adverse reaction to rubella vaccine					1	
14076251000006115	Adverse reaction to measles and mumps and rubella vaccine				1	1	
14076701000006111	Allergy to measles and mumps and rubella vaccine				1	1	
6837101000006119	"Did not attend DTaP, polio and MMR booster"					1	1
6837121000006112	"Did not attend diphtheria, tetanus and acellular pertussis, polio and measles, mumps and rubella vaccine booster"					1	1
8194041000006118	"Did not attend MMR (measles, mumps and rubella) vaccination"					1	1
8195501000006110	Did not attend second MMR (measles mumps and rubella) vaccination					1	1
8078561000006119	"Measles, mumps and rubella vaccination declined"					1	1
7979521000006116	"MMR (measles, mumps, rubella) vaccination not done"					1	1
4642201000006111	No consent - measles immunisation					1	1
4642211000006114	No consent - measles immunization					1	1
4642221000006118	No consent - rubella immunisation						1
4642231000006115	No consent - rubella immunization						1
4642441000006114	No consent for measles/mumps/rubella					1	1
4642451000006111	"No consent for measles, mumps and rubella vaccine"					1	1
4642631000006118	No consent for measles/rubella vaccine					1	1
6003571000006119	No consent for measles/mumps/rubella one					1	1
6003591000006118	No consent for measles/mumps/rubella two					1	1
6003601000006114	"No consent for second measles, mumps and rubella vaccine"					1	1
454360010	No consent for MMR1					1	1
454363012	No consent for MMR2					1	1
674701000006117	No consent - measles imm.					1	1
673761000006119	No consent - rubella imm.						1
700491000006112	Measles/mumps/rubella vaccine contraindicated					1	1
265426012	No consent for MMR					1	1
265439011	Measles mumps and rubella vaccination not done					1	1
265450014	No consent for MR - Measles/rubella vaccine					1	1
404291000000115	MMR vaccination declined					1	1
1716291000006112	Did not attend for measles mumps rubella catch-up vaccination					1	1
1741711000006112	Did not attend for MMR catch-up vaccination					1	1
1152271000000116	Measles mumps rubella catch-up vaccination declined					1	1
1149971000000119	Did not attend measles mumps and rubella vaccination					1	1
1160981000000116	Did not attend second measles mumps and rubella vaccination					1	1
1707151000006114	DNA - Did not attend MMR Catch-up vaccination					1	1
994101000006112	MMR declined					1	1
12615961000006113	"First measles, mumps and rubella vaccination not done"					1	1
12615971000006118	"First MMR (measles, mumps and rubella) vaccination not done"					1	1
12615981000006115	"Second measles, mumps and rubella vaccination not done"					1	1
12615991000006117	"Second MMR (measles, mumps and rubella) vaccination not done"					1	1
2478676011	"DNA - DTaP, polio and MMR booster"						1
954471000006117	DNA - rubella immunisation						1
1714481000006115	MMR catch-up vacc declind - enhanced services administration					1	1
2411431000000117	Rubella vaccination contraindicated						1
2411611000000111	Measles vaccination contraindicated					1	1
954361000006118	Measles vaccination contraindicated					1	1
954391000006114	Rubella vaccination contraindicated						1
13979521000006112	"Measles, mumps and rubella vaccination declined"					1	1
